Date,Name,Already Added?,Location,Country,Country Name,Month,Scraped?,athletic_links ,Notes
16 Feb 2025,eDreams Mitja Marató Barcelona by Brooks,,Barcelona,ESP,Spain,2,,https://www.athlinks.com/event/116840,
16 Feb 2025,Maratón BP Castellón,,Castellón,ESP,Spain,2,,N/A,
22 Feb 2025,5K Breakfast Run Zurich Maratón Sevilla,,Sevilla,ESP,Spain,2,,N/A,
23 Feb 2025,Daegu Marathon,,Daegu,KOR,South Korea,2,,N/A,
23 Feb 2025,Meishan Renshou Half Marathon,,Meishan,CHN,China,2,,N/A,
23 Feb 2025,Napoli City Half Marathon,,Napoli,ITA,Italy,2,,N/A,
23 Feb 2025,XXXVIII Medio Maratón Internacional Guadalajara Electrolit Nutrido Por Granvita,,Guadalajara,MEX,Mexico,2,,N/A,
23 Feb 2025,Zurich Maratón Sevilla,,Sevilla,ESP,Spain,2,,https://www.athlinks.com/event/34920,
24 Feb 2025,Osaka Marathon,,Osaka,JPN,Japan,2,,N/A,
28 Feb 2025,Tel Aviv Bank Leumi Marathon,,Tel Aviv,ISR,Israel,2,,N/A,
02 Mar 2025,Chang'an Automobile Chongqing Marathon,,Chongqing,CHN,China,3,,N/A,
02 Mar 2025,Eurospin RomaOstia Half Marathon,,Roma,ITA,Italy,3,,https://www.athlinks.com/event/103047,
02 Mar 2025,Tokyo Marathon,,Tokyo,JPN,Japan,3,,??,
02 Mar 2025,Wuxi Taihu Lake Queens Half Marathon,,Wuxi,CHN,China,3,,N/A,
09 Mar 2025,EDP Lisbon Half Marathon,,Lisboa,POR,Portugal,3,,https://www.athlinks.com/event/34812,
09 Mar 2025,Harmonie Mutuelle Semi de Paris,,Paris,FRA,France,3,,https://www.athlinks.com/event/34454,
09 Mar 2025,Nagoya Women's Marathon,,Nagoya,JPN,Japan,3,,https://www.athlinks.com/event/92712,
09 Mar 2025,Nanjing Pukou Marathon,,Nanjing,CHN,China,3,,N/A,
16 Mar 2025,Acea Run Rome The Marathon,,Roma,ITA,Italy,3,,https://www.athlinks.com/event/103050,
16 Mar 2025,Jingzhou Marathon,,Jingzhou,CHN,China,3,,N/A,
16 Mar 2025,New Taipei City Wan Jin Shi Marathon,,New Taipei City,TPE,Taipei,3,,N/A,
16 Mar 2025,Seoul Marathon,,Seoul,KOR,South Korea,3,,??,
16 Mar 2025,Zurich Marató Barcelona,,Barcelona,ESP,Spain,3,,https://www.athlinks.com/event/34535,
23 Mar 2025,Bank of China Wuhan Marathon,,Wuhan,CHN,China,3,,N/A,
23 Mar 2025,Shaoxing Shangyu Cao'e River Half Marathon,,Shaoxing,CHN,China,3,,N/A,
23 Mar 2025,Stramilano Half Marathon,,Milano,ITA,Italy,3,,https://www.athlinks.com/event/34977,
